,ID,P90
872,70295,21.4
873,10515,15.5
874,41322,26.95999999999999
875,66004,30.0
876,70111,22.0
877,39152,29.8
878,70291,19.1
879,31008,35.2
880,92003,19.8
881,92160,21.379999999999995
882,14516,45.0
883,9240,30.0
884,9508,25.4
885,64002,25.4
886,44006,33.0
887,44200,29.4
888,9692,20.0
889,6000,25.0
890,3030,45.0
891,44007,38.0
892,70119,22.6
893,81088,18.0
894,83080,48.08000000000002
895,63201,23.58
896,63211,20.8
897,63094,23.6
898,63116,21.6
899,40334,29.4
900,40021,32.639999999999965
901,10807,13.8
902,6001,18.5
903,35122,29.2
904,57002,22.1
905,75071,17.66000000000004
906,72007,34.3
907,2051,35.0
908,13029,29.6
909,39290,31.04000000000001
910,39006,31.0
911,63118,30.8
912,63182,35.6
913,63290,31.49000000000001
914,20000,21.1
915,37005,37.5
916,73005,23.05
917,63007,21.8
918,84001,21.8
919,8009,15.2
920,8202,15.2
921,9112,23.0
922,10301,19.75999999999999
923,9004,19.8
924,39306,32.599999999999994
925,14708,55.0
926,14729,60.8
927,54106,28.7
928,54014,30.5
929,54123,32.0
930,54081,31.04000000000001
931,54039,30.0
932,54019,29.7
933,54090,27.2
934,54004,30.0
935,35295,32.8
936,39186,37.3
937,32009,54.0
938,42046,29.679999999999996
939,40487,35.6
940,40845,35.0
941,64013,26.0
942,64004,27.4
943,44230,26.0
944,8010,16.4
945,8272,19.71999999999998
946,6002,25.9
947,74073,18.2
948,75006,18.3
949,10259,19.00999999999999
950,77028,14.6
951,77008,14.6
952,77006,16.5
953,77088,16.0
954,77007,15.0
955,38026,22.6
956,38002,21.49000000000001
957,23705,18.5
958,60090,29.0
959,23786,16.4
960,35247,30.5
961,42069,32.32
962,35088,34.0
963,93046,13.780000000000019
964,90008,16.0
965,36003,38.1
966,14806,40.0
967,14856,40.959999999999994
968,26030,15.2
969,55150,23.9
970,28024,37.2
971,47059,23.07
972,24502,13.0
973,84044,17.2
974,14153,44.0
975,63080,21.8
976,63087,26.0
977,86009,42.4
978,56203,25.0
979,56202,23.40999999999999
980,36034,31.4
981,36148,28.320000000000004
982,36143,30.940000000000055
983,30113,38.68999999999998
984,68246,32.18000000000002
985,40020,29.8
986,35186,37.2
987,63009,30.020000000000074
988,63295,28.0
989,12005,17.8
990,94163,14.2
991,67059,25.4
992,55081,30.5
993,55297,29.0
994,55237,24.1
995,61002,34.2
996,55061,26.9
997,55006,27.4
998,85011,22.309999999999945
999,35134,34.6
1000,35009,34.5
1001,35290,30.220000000000002
1002,87017,18.8
1003,23839,17.2
1004,91002,27.0
1005,23706,18.5
1006,37006,38.0
1007,35010,35.0
1008,41067,29.7
1009,24503,12.7
1010,25056,13.0
1011,24564,12.8
1012,61372,23.08000000000002
1013,63184,28.5
1014,63230,29.7
1015,63294,22.0
1016,63086,24.08000000000002
1017,63010,22.9
1018,33168,41.16000000000004
1019,92004,22.6
1020,34045,45.0
1021,3033,38.9
1022,17014,19.3
1023,17097,19.520000000000028
1024,17032,20.0
1025,17041,18.34000000000001
1026,17054,20.0
1027,82166,20.6
1028,33284,50.0
1029,33005,58.7
1030,72056,26.4
1031,39148,39.0
1032,32063,33.0
1033,30005,43.2
1034,8011,19.3
1035,35012,37.8
1036,21003,14.7
1037,91364,17.0
1038,58204,39.0
1039,44009,30.0
1040,98029,15.8
1041,50125,24.299999999999997
1042,60046,32.2
1043,82069,20.3
1044,69036,33.8
1045,69007,34.0
1046,45035,27.2
1047,12006,17.0
1048,12221,15.5
1049,12226,16.0
1050,12026,14.5
1051,65003,25.339999999999986
1052,109516,17.140000000000008
1053,9509,21.8
1054,50004,22.0
1055,35013,38.07000000000003
1056,44133,35.0
1057,41320,28.580000000000005
1058,36116,37.400000000000006
1059,53078,33.15
1060,53004,30.7
1061,55268,28.0
1062,55269,25.41999999999998
1063,55020,27.4
1064,55076,26.7
1065,55033,26.9
1066,55265,25.4
1067,55034,26.7
1068,55273,24.6
1069,55044,25.4
1070,54030,28.080000000000005
1071,55264,20.779999999999998
1072,55007,29.5
1073,33004,51.100000000000065
1074,83004,36.0
1075,36154,38.8
1076,82084,21.75999999999999
1077,77009,16.0
1078,76113,15.2
1079,9673,14.5
1080,50005,20.1
1081,10009,16.3
1082,10064,15.820000000000006
1083,87018,16.5
1084,23081,12.6
1085,56049,27.58000000000004
1086,56048,28.2
1087,40577,32.32000000000002
1088,44010,26.6
1089,61133,33.18000000000002
1090,30084,47.0
1091,48008,28.220000000000002
1092,70154,17.8
1093,70013,18.0
1094,69108,23.0
1095,69060,24.520000000000028
1096,70005,20.0
1097,70158,18.6
1098,70328,20.0
1099,16041,17.8
1100,44214,28.0
1101,14956,43.82000000000002
1102,57003,29.6
1103,84002,20.6
1104,86210,17.0
1105,15631,27.0
1106,66005,31.0
1107,82100,20.0
1108,40027,38.09000000000001
1109,40023,33.3
1110,26001,14.2
1111,94223,13.4
1112,4006,29.560000000000013
1113,41165,29.5
1114,10010,14.0
1115,88007,18.8
1116,10011,14.55
1117,14912,44.98000000000004
1118,54007,29.0
1119,54160,26.6
1120,56041,25.7
1121,41519,26.0
1122,21004,16.0
1123,27003,44.5
1124,92060,18.2
1125,4007,55.03000000000002
1126,12007,14.0
1127,29152,35.780000000000015
1128,10012,14.8
1129,7006,19.0
1130,16002,16.5
1131,26103,13.4
1132,26092,13.6
1133,7007,18.8
1134,85014,17.4
1135,85162,17.0
1136,85030,17.140000000000054
1137,6003,27.120000000000005
1138,39008,37.4
1139,53005,33.3
1140,20001,22.0
1141,19007,14.5
1142,19006,15.769999999999982
1143,19047,15.0
1144,19116,15.4
1145,75007,19.0
1146,49112,22.4
1147,49034,19.1
1148,49118,18.3
1149,75069,20.0
1150,49092,20.0
1151,49133,20.84000000000001
1152,6004,29.7
1153,52004,31.2
1154,53077,30.510000000000012
1155,39009,37.0
1156,90187,15.6
1157,40949,31.0
1158,40523,30.5
1159,40597,35.700000000000024
1160,40024,34.0
1161,40025,33.3
1162,40721,30.0
1163,40531,33.6
1164,41386,29.5
1165,40722,30.28000000000002
1166,56141,22.240000000000055
1167,12125,13.600000000000009
1168,10518,14.2
1169,44012,26.0
1170,82006,19.090000000000057
1171,74013,17.9
1172,35109,37.0
1173,75056,17.370000000000026
1174,75009,17.5
1175,70220,21.1
1176,80002,16.0
1177,77016,15.5
1178,44013,29.85
1179,40473,31.8
1180,39159,33.8
1181,12008,18.58
1182,62050,22.9
1183,10519,12.0
1184,25501,15.0
1185,26058,12.6
1186,25500,13.0
1187,25553,12.4
1188,25560,14.0
1189,25525,12.4
1190,25524,12.0
1191,25505,13.380000000000019
1192,25550,13.2
1193,25544,12.6
1194,26037,12.4
1195,25545,12.6
1196,74014,17.8
1197,40756,31.95999999999999
1198,30006,36.23999999999998
1199,65110,23.0
1200,63011,24.6
1201,86010,17.8
1202,25022,12.110000000000014
1203,14710,40.6
1204,14723,41.0
1205,40481,31.8
1206,10520,15.0
1207,59049,34.0
1208,64019,23.28000000000001
1209,66007,41.16000000000008
1210,95005,14.8
1211,95046,12.6
1212,95001,13.0
1213,95061,15.0
1214,96053,14.160000000000036
1215,32061,59.7
1216,38003,25.8
1217,76105,14.870000000000028
1218,33263,41.0
1219,48133,30.900000000000002
1220,48205,26.0
1221,48049,24.979999999999997
1222,48239,23.560000000000002
1223,48245,23.820000000000004
1224,48013,24.010000000000012
1225,2003,36.1
1226,9502,21.440000000000055
1227,33257,45.2
1228,33094,50.14000000000006
1229,36008,36.440000000000055
1230,63301,30.240000000000055
1231,33007,43.26000000000004
1232,33264,48.0
1233,41008,30.879999999999974
1234,24504,13.4
1235,8012,19.3
1236,8013,16.05
1237,25040,11.4
1238,21106,12.2
1239,55191,24.78000000000004
1240,55298,26.0
1241,61270,23.520000000000074
1242,73050,22.4
1243,59138,42.0
1244,68101,26.940000000000055
1245,68255,24.0
1246,68102,22.6
1247,68184,22.660000000000036
1248,68005,29.2
1249,59110,37.9
1250,59038,34.3
1251,59002,40.690000000000055
1252,29164,40.4
1253,70006,-1.0
1254,67104,25.0
1255,86012,15.7
1256,86011,16.5
1257,41523,34.0
1258,81029,18.3
1259,9503,23.1
1260,9990,21.8
1261,9788,17.3
1262,9504,18.5
1263,17015,19.1
1264,57050,24.6
1265,91127,22.2
1266,10014,14.7
1267,14817,40.0
1268,14660,43.0
1269,55242,24.8
1270,20043,16.4
1271,41130,30.94999999999999
1272,41156,30.5
1273,12107,12.45999999999999
1274,10521,16.8
1275,70121,25.980000000000018
1276,69119,22.08000000000002
1277,70219,24.0
1278,70057,25.9
1279,69150,26.6
1280,69010,23.9
1281,69132,24.0
1282,18003,13.2
1283,9672,20.0
1284,33138,42.0
1285,33163,38.0
1286,27072,47.0
1287,91004,24.4
1288,91282,23.5
1289,90009,14.0
1290,90010,13.0
1291,61014,25.4
1292,61167,33.900000000000034
1293,61005,28.46000000000001
1294,58005,35.0
1295,70143,22.6
1296,91222,17.570000000000004
1297,70097,20.4
1298,70007,21.78000000000002
1299,92057,20.8
1300,10118,13.54000000000001
1301,87184,13.4
1302,92005,19.1
1303,70098,19.6
1304,55275,25.65
1305,55008,26.08000000000002
1306,55065,25.4
1307,9654,16.0
1308,22001,11.7
1309,96001,45.7
1310,96078,40.4
1311,60053,29.6
1312,60137,27.4
1313,48238,27.4
1314,48109,29.800000000000004
1315,48072,27.6
1316,48176,27.4
1317,48015,25.2
