,Unnamed: 0,ID,Location,Latitude,Longitude,Start_Month,Start_Year,End_Month,End_Year,Years,Percent,Code,State
10544,10544,49081,MOORAL,-33.5833,145.3167,Mar,1905,Feb,1947,40.5,96,N,NSW
10545,10545,60165,MOORAL CREEK (THE DEN),-31.6642,152.3705,Aug,2012,Jun,2024,11.9,0,N,NSW
10546,10546,89020,MOORALLA (WOODLEIGH),-37.4,142.1,Mar,1899,Dec,1952,52.6,98,N,VIC
10547,10547,35176,MOORAMIN,-22.5514,147.8553,Jan,1931,Mar,1998,65.1,97,N,QLD
10548,10548,40400,MOORANG,-27.9065,152.4736,Mar,1919,Mar,2024,96.7,92,N,QLD
10549,10549,7052,MOORARIE,-25.9214,117.6,Jan,1889,Feb,2020,114.5,87,N,WA
10550,10550,98009,MOORDEN,-40.0333,144.0333,Sep,1926,Apr,1933,5.9,89,N,TAS
10551,10551,55022,MOORE CREEK (ELIZABETH DRIVE),-31.0127,150.9545,Jan,1999,Dec,2015,15.5,91,N,NSW
10552,10552,39196,MOORE PARK,-24.7,152.25,Apr,1971,Dec,2004,11.2,33,N,QLD
10553,10553,40137,MOORE POST OFFICE,-26.895,152.2917,Jan,1912,Dec,1982,69.5,98,N,QLD
10554,10554,9121,MOORE RIVER FORESTRY 6,-31.2358,115.5381,Feb,1965,Dec,1979,14.6,98,N,WA
10555,10555,66171,MOOREBARK N.B.GOLF CLUB,-33.95,150.95,May,1964,Aug,1980,16.3,99,N,NSW
10556,10556,73026,MOORILLA,-34.1,148.2,May,1934,Aug,1961,21.4,78,N,NSW
10557,10557,40970,MOORINA,-27.1492,152.8778,Jan,2000,Jan,2012,12.1,0,N,QLD
10558,10558,92134,MOORINA,-41.1256,147.8617,Jun,2005,May,2023,17.7,98,N,TAS
10559,10559,92013,MOORINA (FROME DAM),-41.1328,147.9092,May,1908,Nov,2008,98.9,98,N,TAS
10560,10560,12053,MOORINE ROCK,-31.3125,119.1281,Nov,1924,Nov,2004,74.6,93,N,WA
10561,10561,12055,MOORINE ROCK SOUTH,-31.4,119.1,Jan,1935,Dec,1948,13.6,97,N,WA
10562,10562,60006,MOORLAND (COOPERNOOK STATE FOR,-31.79,152.6092,Jan,1940,Dec,1999,57.9,96,N,NSW
10563,10563,60024,MOORLAND (DENRO-AN),-31.7816,152.6684,Nov,1885,May,2024,134.8,97,N,NSW
10564,10564,25011,MOORLANDS,-35.2964,139.6417,Jan,1910,Dec,1989,79.3,99,N,SA
10565,10565,36134,MOORLANDS,-24.3972,145.0694,Sep,1974,Dec,2020,42.2,91,N,QLD
10566,10566,10098,MOORLANDS,-31.9,117.6,May,1927,Aug,1944,12.5,72,N,WA
10567,10567,54100,MOORLANDS (ASHFORD),-29.2,151.1,Oct,1929,Dec,1946,14.3,83,N,NSW
10568,10568,91335,MOORLEAH,-40.98,145.6225,Jul,2003,Jun,2024,21.0,0,N,TAS
10569,10569,91066,MOORLEAH (PREOLENNA ROAD),-40.9936,145.6114,Jan,1901,Aug,2003,94.3,92,N,TAS
10570,10570,85060,MOORMURANG THE RIDGE,-37.9,147.5,Jul,1887,Sep,1953,66.3,0,N,VIC
10571,10571,47021,MOORNA,-34.1333,141.6,Jan,1877,Dec,1972,94.8,99,N,NSW
10572,10572,74078,MOORONG,-35.1,147.3,Mar,1908,Mar,1951,43.1,0,N,NSW
10573,10573,86246,MOOROODUC,-38.2483,145.1036,Apr,1968,Mar,2013,44.9,0,N,VIC
10574,10574,24010,MOOROOK,-34.2918,140.3632,Jul,1896,May,2024,124.9,98,N,SA
10575,10575,24047,MOOROOK (WAPPILKA),-34.3814,140.2822,Jan,1957,Dec,1993,35.0,95,N,SA
10576,10576,86365,MOOROOLBARK,-37.7792,145.3197,Nov,1986,May,2006,19.1,97,N,VIC
10577,10577,86298,MOOROOLBARK,-37.7833,145.3167,Jan,1930,Nov,1939,4.8,49,N,VIC
10578,10578,81034,MOOROOPNA,-36.3989,145.3448,Dec,1884,Jun,2024,125.3,90,N,VIC
10579,10579,81059,MOOROOPNA NORTH WEST,-36.4,145.2667,Jun,1954,Jan,1957,2.3,84,N,VIC
10580,10580,36165,MOORRINYA NATIONAL PARK,-21.5028,144.9897,Jan,1904,Feb,2006,79.1,77,N,QLD
10581,10581,38016,MOOTHANDELLA STATION,-25.5458,142.9419,Jan,1926,Apr,2020,78.6,83,N,QLD
10582,10582,60153,MOPPY LOOKOUT (BARRINGTON TOPS,-31.892,151.555,Dec,2008,Jun,2024,15.4,99,N,NSW
